Feature,Importance
Suicidal Thoughts,0.5335955016117025
Academic Pressure,0.25664949619261657
Financial Stress,0.12793797880309452
Work/Study Hours,0.03089761051346541
Study Satisfaction,0.01676645022813779
Age,0.014023935949999018
CGPA,0.007920714040063568
Sleep_Less Than 5 Hours,0.005567399344931085
Sleep_More Than 8 Hours,0.002544634809940114
Family History,0.0021737941391283626
Doctorate,0.0005599932362070373
Postgraduate,0.00044268225396503115
Male,0.00026331487096742064
Sleep_5-6 Hours,0.00019355471054682225
Sleep_7-8 Hours,0.00017505941588578773
Female,0.0001410945796507147
Undergraduate,0.00012753199517788445
School,1.9253304520268817e-05
Gender_Other,0.0
Sleep_Others,0.0
