Feature,Importance
Suicidal Thoughts,1.1791888994479391
Academic Pressure,1.139352326997395
Financial Stress,0.8183060049190407
Work/Study Hours,0.41746189203484246
Study Satisfaction,0.31779490260085863
Age,0.27739898413728825
Sleep_Less Than 5 Hours,0.15151611966305817
Sleep_More Than 8 Hours,0.1336043501574937
Family History,0.12389458958190681
CGPA,0.08465970931872131
Sleep_5-6 Hours,0.038345939385247586
Male,0.019462795001502862
Female,0.01946279500150281
Sleep_Others,0.007192924350800634
Sleep_7-8 Hours,0.003075416928226735
Gender_Other,0.0
