Feature,Importance
Suicidal Thoughts,0.2215635644964042
Academic Pressure,0.18345641684713787
CGPA,0.13869134569752983
Financial Stress,0.11286898338779389
Work/Study Hours,0.0997816106865265
Age,0.08595200751842358
Study Satisfaction,0.05824630084153535
Family History,0.022219223645663647
Sleep_Less Than 5 Hours,0.01375047711544421
Female,0.013462288871789265
Male,0.013453783778090095
Sleep_7-8 Hours,0.012502109098906469
Sleep_5-6 Hours,0.012194426983395979
Sleep_More Than 8 Hours,0.011800307647866286
Sleep_Others,5.715338349288017e-05
Gender_Other,0.0
